"games","gold","silver","bronze","event","gender","year","location","event_type","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
"1972 Munich","Faina Melnik Soviet Union","Argentina Menis Romania","Vasilka Stoeva Bulgaria","Discus throw","women","1972","Munich","Throwing","Faina Melnik "," Menis ","Vasilka Stoeva ","Soviet Union","Argentina","Bulgaria"
"1976 Montreal","Evelin Schlaak East Germany","Mariya Vergova Bulgaria","Gabriele Hinzmann East Germany","Discus throw","women","1976","Montreal","Throwing","Evelin Schlaak ","Mariya Vergova ","Gabriele Hinzmann ","East Germany","Bulgaria","East Germany"
"1980 Moscow","Evelin Jahl East Germany","Mariya Petkova Bulgaria","Tatyana Lesovaya Soviet Union","Discus throw","women","1980","Moscow","Throwing","Evelin Jahl ","Mariya Petkova ","Tatyana Lesovaya ","East Germany","Bulgaria","Soviet Union"
"1984 Los Angeles","Ria Stalman Netherlands","Leslie Deniz United States","Floren<U+021B>a Craciunescu Romania","Discus throw","women","1984","Los Angeles","Throwing","Ria Stalman ","Leslie Deniz ","Floren<U+021B>a Craciunescu ","Netherlands","United States","Romania"
"1988 Seoul","Martina Hellmann East Germany","Diana Gansky East Germany","Tsvetanka Khristova Bulgaria","Discus throw","women","1988","Seoul","Throwing","Martina Hellmann ","Diana Gansky ","Tsvetanka Khristova ","East Germany","East Germany","Bulgaria"
"1992 Barcelona","Maritza Martén Cuba","Tsvetanka Khristova Bulgaria","Daniela Costian Australia","Discus throw","women","1992","Barcelona","Throwing","Maritza Martén ","Tsvetanka Khristova ","Daniela Costian ","Cuba","Bulgaria","Australia"
"1996 Atlanta","Ilke Wyludda Germany","Natalya Sadova Russia","Ellina Zvereva Belarus","Discus throw","women","1996","Atlanta","Throwing","Ilke Wyludda ","Natalya Sadova ","Ellina Zvereva ","Germany","Russia","Belarus"
"2000 Sydney","Ellina Zvereva Belarus","Anastasia Kelesidou Greece","Iryna Yatchenko Belarus","Discus throw","women","2000","Sydney","Throwing","Ellina Zvereva ","Anastasia Kelesidou ","Iryna Yatchenko ","Belarus","Greece","Belarus"
"2004 Athens","Natalya Sadova Russia","Anastasia Kelesidou Greece","Vera Pospíšilová-Cechlová Czech Republic[10]","Discus throw","women","2004","Athens","Throwing","Natalya Sadova ","Anastasia Kelesidou ","Vera Pospíšilová-Cechlová [10]","Russia","Greece","Czech Republic"
"2008 Beijing","Stephanie Brown Trafton United States","Yarelys Barrios Cuba","Olena Antonova Ukraine","Discus throw","women","2008","Beijing","Throwing","Stephanie Brown Trafton ","Yarelys Barrios ","Olena Antonova ","United States","Cuba","Ukraine"
"2012 London","Sandra Perkovic Croatia","Li Yanfeng China","Yarelys Barrios Cuba","Discus throw","women","2012","London","Throwing","Sandra Perkovic ","Li Yanfeng ","Yarelys Barrios ","Croatia","China","Cuba"
"2016 Rio de Janeiro","Sandra Perkovic Croatia","Mélina Robert-Michon France","Denia Caballero Cuba","Discus throw","women","2016","Rio de Janeiro","Throwing","Sandra Perkovic ","Mélina Robert-Michon ","Denia Caballero ","Croatia","France","Cuba"
"2000 Sydney","Kamila Skolimowska Poland","Olga Kuzenkova Russia","Kirsten Münchow Germany","Hammer throw","women","2000","Sydney","Throwing","Kamila Skolimowska ","Olga Kuzenkova ","Kirsten Münchow ","Poland","Russia","Germany"
"2004 Athens","Olga Kuzenkova Russia","Yipsi Moreno Cuba","Yunaika Crawford Cuba","Hammer throw","women","2004","Athens","Throwing","Olga Kuzenkova ","Yipsi Moreno ","Yunaika Crawford ","Russia","Cuba","Cuba"
"2008 Beijing","Yipsi Moreno Cuba","Zhang Wenxiu China","Manuela Montebrun France","Hammer throw","women","2008","Beijing","Throwing","Yipsi Moreno ","Zhang Wenxiu ","Manuela Montebrun ","Cuba","China","France"
"2012 London","Anita Wlodarczyk Poland","Betty Heidler Germany","Zhang Wenxiu China","Hammer throw","women","2012","London","Throwing","Anita Wlodarczyk ","Betty Heidler ","Zhang Wenxiu ","Poland","Germany","China"
"2016 Rio de Janeiro","Anita Wlodarczyk Poland","Zhang Wenxiu China","Sophie Hitchon Great Britain","Hammer throw","women","2016","Rio de Janeiro","Throwing","Anita Wlodarczyk ","Zhang Wenxiu ","Sophie Hitchon ","Poland","China","Great Britain"
"1932 Los Angeles","Babe Didrikson United States","Ellen Braumüller Germany","Tilly Fleischer Germany","Javelin throw","women","1932","Los Angeles","Throwing","Babe Didrikson ","Ellen Braumüller ","Tilly Fleischer ","United States","Germany","Germany"
"1936 Berlin","Tilly Fleischer Germany","Luise Krüger Germany","Maria Kwasniewska Poland","Javelin throw","women","1936","Berlin","Throwing","Tilly Fleischer ","Luise Krüger ","Maria Kwasniewska ","Germany","Germany","Poland"
"1948 London","Herma Bauma Austria","Kaisa Parviainen Finland","Lily Carlstedt Denmark","Javelin throw","women","1948","London","Throwing","Herma Bauma ","Kaisa Parviainen ","Lily Carlstedt ","Austria","Finland","Denmark"
"1952 Helsinki","Dana Zátopková Czechoslovakia","Aleksandra Chudina Soviet Union","Yelena Gorchakova Soviet Union","Javelin throw","women","1952","Helsinki","Throwing","Dana Zátopková ","Aleksandra Chudina ","Yelena Gorchakova ","Czechoslovakia","Soviet Union","Soviet Union"
"1956 Melbourne","Inese Jaunzeme Soviet Union","Marlene Ahrens Chile","Nadezhda Konyayeva Soviet Union","Javelin throw","women","1956","Melbourne","Throwing","Inese Jaunzeme ","Marlene Ahrens ","Nadezhda Konyayeva ","Soviet Union","Chile","Soviet Union"
"1960 Rome","Elvira Ozolina Soviet Union","Dana Zátopková Czechoslovakia","Birute Kalediene Soviet Union","Javelin throw","women","1960","Rome","Throwing","Elvira Ozolina ","Dana Zátopková ","Birute Kalediene ","Soviet Union","Czechoslovakia","Soviet Union"
"1964 Tokyo","Mihaela Pene<U+0219> Romania","Márta Rudas Hungary","Yelena Gorchakova Soviet Union","Javelin throw","women","1964","Tokyo","Throwing","Mihaela Pene<U+0219> ","Márta Rudas ","Yelena Gorchakova ","Romania","Hungary","Soviet Union"
"1968 Mexico City","Angéla Németh Hungary","Mihaela Pene<U+0219> Romania","Eva Janko Austria","Javelin throw","women","1968","Mexico City","Throwing","Angéla Németh ","Mihaela Pene<U+0219> ","Eva Janko ","Hungary","Romania","Austria"
"1972 Munich","Ruth Fuchs East Germany","Jacqueline Todten East Germany","Kate Schmidt United States","Javelin throw","women","1972","Munich","Throwing","Ruth Fuchs ","Jacqueline Todten ","Kate Schmidt ","East Germany","East Germany","United States"
"1976 Montreal","Ruth Fuchs East Germany","Marion Becker West Germany","Kate Schmidt United States","Javelin throw","women","1976","Montreal","Throwing","Ruth Fuchs ","Marion Becker ","Kate Schmidt ","East Germany","West Germany","United States"
"1980 Moscow","María Caridad Colón Cuba","Saida Gunba Soviet Union","Ute Hommola East Germany","Javelin throw","women","1980","Moscow","Throwing","María Caridad Colón ","Saida Gunba ","Ute Hommola ","Cuba","Soviet Union","East Germany"
"1984 Los Angeles","Tessa Sanderson Great Britain","Tiina Lillak Finland","Fatima Whitbread Great Britain","Javelin throw","women","1984","Los Angeles","Throwing","Tessa Sanderson ","Tiina Lillak ","Fatima Whitbread ","Great Britain","Finland","Great Britain"
"1988 Seoul","Petra Felke East Germany","Fatima Whitbread Great Britain","Beate Koch East Germany","Javelin throw","women","1988","Seoul","Throwing","Petra Felke ","Fatima Whitbread ","Beate Koch ","East Germany","Great Britain","East Germany"
"1992 Barcelona","Silke Renk Germany","Natalya Shikolenko Unified Team","Karen Forkel Germany","Javelin throw","women","1992","Barcelona","Throwing","Silke Renk ","Natalya Shikolenko ","Karen Forkel ","Germany","Unified Team","Germany"
"1996 Atlanta","Heli Rantanen Finland","Louise McPaul Australia","Trine Hattestad Norway","Javelin throw","women","1996","Atlanta","Throwing","Heli Rantanen ","Louise McPaul ","Trine Hattestad ","Finland","Australia","Norway"
"2000 Sydney","Trine Hattestad Norway","Mirela Maniani-Tzelili Greece","Osleidys Menéndez Cuba","Javelin throw","women","2000","Sydney","Throwing","Trine Hattestad ","Mirela Maniani-Tzelili ","Osleidys Menéndez ","Norway","Greece","Cuba"
"2004 Athens","Osleidys Menéndez Cuba","Steffi Nerius Germany","Mirela Maniani Greece","Javelin throw","women","2004","Athens","Throwing","Osleidys Menéndez ","Steffi Nerius ","Mirela Maniani ","Cuba","Germany","Greece"
"2008 Beijing","Barbora Špotáková Czech Republic","Mariya Abakumova Russia","Christina Obergföll Germany","Javelin throw","women","2008","Beijing","Throwing","Barbora Špotáková ","Mariya Abakumova ","Christina Obergföll ","Czech Republic","Russia","Germany"
"2012 London","Barbora Špotáková Czech Republic","Christina Obergföll Germany","Linda Stahl Germany","Javelin throw","women","2012","London","Throwing","Barbora Špotáková ","Christina Obergföll ","Linda Stahl ","Czech Republic","Germany","Germany"
"2016 Rio de Janeiro","Sara Kolak Croatia","Sunette Viljoen South Africa","Barbora Špotáková Czech Republic","Javelin throw","women","2016","Rio de Janeiro","Throwing","Sara Kolak ","Sunette Viljoen ","Barbora Špotáková ","Croatia","South Africa","Czech Republic"
"1984 Los Angeles","Glynis Nunn Australia","Jackie Joyner United States","Sabine Everts West Germany","Heptathlon","women","1984","Los Angeles","Multisport","Glynis Nunn ","Jackie Joyner ","Sabine Everts ","Australia","United States","West Germany"
"1988 Seoul","Jackie Joyner-Kersee United States","Sabine John East Germany","Anke Behmer East Germany","Heptathlon","women","1988","Seoul","Multisport","Jackie Joyner-Kersee ","Sabine John ","Anke Behmer ","United States","East Germany","East Germany"
"1992 Barcelona","Jackie Joyner-Kersee United States","Irina Belova Unified Team","Sabine Braun Germany","Heptathlon","women","1992","Barcelona","Multisport","Jackie Joyner-Kersee ","Irina Belova ","Sabine Braun ","United States","Unified Team","Germany"
"1996 Atlanta","Ghada Shouaa Syria","Natallia Sazanovich Belarus","Denise Lewis Great Britain","Heptathlon","women","1996","Atlanta","Multisport","Ghada Shouaa ","Natallia Sazanovich ","Denise Lewis ","Syria","Belarus","Great Britain"
"2000 Sydney","Denise Lewis Great Britain","Yelena Prokhorova Russia","Natallia Sazanovich Belarus","Heptathlon","women","2000","Sydney","Multisport","Denise Lewis ","Yelena Prokhorova ","Natallia Sazanovich ","Great Britain","Russia","Belarus"
"2004 Athens","Carolina Klüft Sweden","Austra Skujyte Lithuania","Kelly Sotherton Great Britain","Heptathlon","women","2004","Athens","Multisport","Carolina Klüft ","Austra Skujyte ","Kelly Sotherton ","Sweden","Lithuania","Great Britain"
"2008 Beijing","Nataliya Dobrynska Ukraine","Hyleas Fountain United States","Kelly Sotherton Great Britain","Heptathlon","women","2008","Beijing","Multisport","Nataliya Dobrynska ","Hyleas Fountain ","Kelly Sotherton ","Ukraine","United States","Great Britain"
"2012 London","Jessica Ennis Great Britain","Lilli Schwarzkopf Germany","Austra Skujyte Lithuania","Heptathlon","women","2012","London","Multisport","Jessica Ennis ","Lilli Schwarzkopf ","Austra Skujyte ","Great Britain","Germany","Lithuania"
"2016 Rio","Nafissatou Thiam Belgium","Jessica Ennis-Hill Great Britain","Brianne Theisen-Eaton Canada","Heptathlon","women","2016","Rio","Multisport","Nafissatou Thiam ","Jessica Ennis-Hill ","Brianne Theisen-Eaton ","Belgium","Great Britain","Canada"
"1984 Los Angeles","Maricica Puica Romania","Wendy Smith-Sly Great Britain","Lynn Williams Canada","3000 metres","women","1984","Los Angeles","Running","Maricica Puica ","Wendy Smith-Sly ","Lynn Williams ","Romania","Great Britain","Canada"
"1988 Seoul","Tetyana Samolenko Soviet Union","Paula Ivan Romania","Yvonne Murray Great Britain","3000 metres","women","1988","Seoul","Running","Tetyana Samolenko ","Paula Ivan ","Yvonne Murray ","Soviet Union","Romania","Great Britain"
"1992 Barcelona","Yelena Romanova Unified Team","Tetyana Dorovskikh Unified Team","Angela Chalmers Canada","3000 metres","women","1992","Barcelona","Running","Yelena Romanova ","Tetyana Dorovskikh ","Angela Chalmers ","Unified Team","Unified Team","Canada"
"1932 Los Angeles","Babe Didrikson United States","Evelyne Hall United States","Marjorie Clark South Africa","80 metres hurdles","women","1932","Los Angeles","Running","Babe Didrikson ","Evelyne Hall ","Marjorie Clark ","United States","United States","South Africa"
"1936 Berlin","Ondina Valla Italy","Anni Steuer Germany","Elizabeth Taylor Canada","80 metres hurdles","women","1936","Berlin","Running","Ondina Valla ","Anni Steuer ","Elizabeth Taylor ","Italy","Germany","Canada"
"1948 London","Fanny Blankers-Koen Netherlands","Maureen Gardner Great Britain","Shirley Strickland Australia","80 metres hurdles","women","1948","London","Running","Fanny Blankers-Koen ","Maureen Gardner ","Shirley Strickland ","Netherlands","Great Britain","Australia"
"1952 Helsinki","Shirley Strickland de la Hunty Australia","Maria Golubnichaya Soviet Union","Maria Sander Germany","80 metres hurdles","women","1952","Helsinki","Running","Shirley Strickland de la Hunty ","Maria Golubnichaya ","Maria Sander ","Australia","Soviet Union","Germany"
"1956 Melbourne","Shirley Strickland de la Hunty Australia","Gisela Köhler United Team of Germany","Norma Thrower Australia","80 metres hurdles","women","1956","Melbourne","Running","Shirley Strickland de la Hunty ","Gisela Köhler ","Norma Thrower ","Australia","United Team of Germany","Australia"
"1960 Rome","Irina Press Soviet Union","Carole Quinton Great Britain","Gisela Birkemeyer United Team of Germany","80 metres hurdles","women","1960","Rome","Running","Irina Press ","Carole Quinton ","Gisela Birkemeyer ","Soviet Union","Great Britain","United Team of Germany"
"1964 Tokyo","Karin Balzer United Team of Germany","Teresa Cieply Poland","Pam Kilborn Australia","80 metres hurdles","women","1964","Tokyo","Running","Karin Balzer ","Teresa Cieply ","Pam Kilborn ","United Team of Germany","Poland","Australia"
"1968 Mexico City","Maureen Caird Australia","Pam Kilborn Australia","Chi Cheng Republic of China","80 metres hurdles","women","1968","Mexico City","Running","Maureen Caird ","Pam Kilborn ","Chi Cheng Republic of ","Australia","Australia","China"
"1964 Tokyo","Irina Press Soviet Union","Mary Rand Great Britain","Galina Bystrova Soviet Union","Pentathlon","women","1964","Tokyo","Multisport","Irina Press ","Mary Rand ","Galina Bystrova ","Soviet Union","Great Britain","Soviet Union"
"1968 Mexico City","Ingrid Becker West Germany","Liese Prokop Austria","Annamária Tóth Hungary","Pentathlon","women","1968","Mexico City","Multisport","Ingrid Becker ","Liese Prokop ","Annamária Tóth ","West Germany","Austria","Hungary"
"1972 Munich","Mary Peters Great Britain","Heide Rosendahl West Germany","Burglinde Pollak East Germany","Pentathlon","women","1972","Munich","Multisport","Mary Peters ","Heide Rosendahl ","Burglinde Pollak ","Great Britain","West Germany","East Germany"
"1976 Montreal","Siegrun Siegl East Germany","Christine Laser East Germany","Burglinde Pollak East Germany","Pentathlon","women","1976","Montreal","Multisport","Siegrun Siegl ","Christine Laser ","Burglinde Pollak ","East Germany","East Germany","East Germany"
"1980 Moscow","Nadiya Tkachenko Soviet Union","Olga Rukavishnikova Soviet Union","Olga Kuragina Soviet Union","Pentathlon","women","1980","Moscow","Multisport","Nadiya Tkachenko ","Olga Rukavishnikova ","Olga Kuragina ","Soviet Union","Soviet Union","Soviet Union"
"1992 Barcelona","Chen Yueling China","Yelena Nikolayeva Unified Team","Li Chunxiu China","10 kilometers race walk","women","1992","Barcelona","Walking","Chen Yueling ","Yelena Nikolayeva ","Li Chunxiu ","China","Unified Team","China"
"1996 Atlanta","Yelena Nikolayeva Russia","Elisabetta Perrone Italy","Wang Yan China","10 kilometers race walk","women","1996","Atlanta","Walking","Yelena Nikolayeva ","Elisabetta Perrone ","Wang Yan ","Russia","Italy","China"
"1896 Athens","Thomas Burke United States","Fritz Hofmann Germany","Francis Lane United States & Alajos Szokolyi Hungary","100 metres","men","1896","Athens","Running","Thomas Burke ","Fritz Hofmann ","Francis Lane  & Alajos Szokolyi ","United States","Germany","United States"
"1900 Paris","Frank Jarvis United States","Walter Tewksbury United States","Stan Rowley Australia","100 metres","men","1900","Paris","Running","Frank Jarvis ","Walter Tewksbury ","Stan Rowley ","United States","United States","Australia"
"1904 St. Louis","Archie Hahn United States","Nathaniel Cartmell United States","William Hogenson United States","100 metres","men","1904","St. Louis","Running","Archie Hahn ","Nathaniel Cartmell ","William Hogenson ","United States","United States","United States"
"1908 London","Reggie Walker South Africa","James Rector United States","Robert Kerr Canada","100 metres","men","1908","London","Running","Reggie Walker ","James Rector ","Robert Kerr ","South Africa","United States","Canada"
"1912 Stockholm","Ralph Craig United States","Alvah Meyer United States","Donald Lippincott United States","100 metres","men","1912","Stockholm","Running","Ralph Craig ","Alvah Meyer ","Donald Lippincott ","United States","United States","United States"
"1920 Antwerp","Charley Paddock United States","Morris Kirksey United States","Harry Edward Great Britain","100 metres","men","1920","Antwerp","Running","Charley Paddock ","Morris Kirksey ","Harry Edward ","United States","United States","Great Britain"
"1924 Paris","Harold Abrahams Great Britain","Jackson Scholz United States","Arthur Porritt, Baron Porritt New Zealand","100 metres","men","1924","Paris","Running","Harold Abrahams ","Jackson Scholz ","Arthur Porritt, Baron Porritt ","Great Britain","United States","New Zealand"
"1928 Amsterdam","Percy Williams Canada","Jack London Great Britain","Georg Lammers Germany","100 metres","men","1928","Amsterdam","Running","Percy Williams ","Jack London ","Georg Lammers ","Canada","Great Britain","Germany"
"1932 Los Angeles","Eddie Tolan United States","Ralph Metcalfe United States","Arthur Jonath Germany","100 metres","men","1932","Los Angeles","Running","Eddie Tolan ","Ralph Metcalfe ","Arthur Jonath ","United States","United States","Germany"
"1936 Berlin","Jesse Owens United States","Ralph Metcalfe United States","Tinus Osendarp Netherlands","100 metres","men","1936","Berlin","Running","Jesse Owens ","Ralph Metcalfe ","Tinus Osendarp ","United States","United States","Netherlands"
"1948 London","Harrison Dillard United States","Barney Ewell United States","Lloyd LaBeach Panama","100 metres","men","1948","London","Running","Harrison Dillard ","Barney Ewell ","Lloyd LaBeach ","United States","United States","Panama"
"1952 Helsinki","Lindy Remigino United States","Herb McKenley Jamaica","McDonald Bailey Great Britain","100 metres","men","1952","Helsinki","Running","Lindy Remigino ","Herb McKenley ","McDonald Bailey ","United States","Jamaica","Great Britain"
"1956 Melbourne","Bobby Morrow United States","Thane Baker United States","Hector Hogan Australia","100 metres","men","1956","Melbourne","Running","Bobby Morrow ","Thane Baker ","Hector Hogan ","United States","United States","Australia"
"1960 Rome","Armin Hary United Team of Germany","Dave Sime United States","Peter Radford Great Britain","100 metres","men","1960","Rome","Running","Armin Hary ","Dave Sime ","Peter Radford ","United Team of Germany","United States","Great Britain"
"1964 Tokyo","Bob Hayes United States","Enrique Figueroa Cuba","Harry Jerome Canada","100 metres","men","1964","Tokyo","Running","Bob Hayes ","Enrique Figueroa ","Harry Jerome ","United States","Cuba","Canada"
"1968 Mexico City","Jim Hines United States","Lennox Miller Jamaica","Charles Greene United States","100 metres","men","1968","Mexico City","Running","Jim Hines ","Lennox Miller ","Charles Greene ","United States","Jamaica","United States"
"1972 Munich","Valeriy Borzov Soviet Union","Robert Taylor United States","Lennox Miller Jamaica","100 metres","men","1972","Munich","Running","Valeriy Borzov ","Robert Taylor ","Lennox Miller ","Soviet Union","United States","Jamaica"
"1976 Montreal","Hasely Crawford Trinidad and Tobago","Don Quarrie Jamaica","Valeriy Borzov Soviet Union","100 metres","men","1976","Montreal","Running","Hasely Crawford ","Don Quarrie ","Valeriy Borzov ","Trinidad and Tobago","Jamaica","Soviet Union"
"1980 Moscow","Allan Wells Great Britain","Silvio Leonard Cuba","Petar Petrov Bulgaria","100 metres","men","1980","Moscow","Running","Allan Wells ","Silvio Leonard ","Petar Petrov ","Great Britain","Cuba","Bulgaria"
"1984 Los Angeles","Carl Lewis United States","Sam Graddy United States","Ben Johnson Canada","100 metres","men","1984","Los Angeles","Running","Carl Lewis ","Sam Graddy ","Ben Johnson ","United States","United States","Canada"
"1988 Seoul","Carl Lewis United States","Linford Christie Great Britain","Calvin Smith United States","100 metres","men","1988","Seoul","Running","Carl Lewis ","Linford Christie ","Calvin Smith ","United States","Great Britain","United States"
"1992 Barcelona","Linford Christie Great Britain","Frankie Fredericks Namibia","Dennis Mitchell United States","100 metres","men","1992","Barcelona","Running","Linford Christie ","Frankie Fredericks ","Dennis Mitchell ","Great Britain","Namibia","United States"
"1996 Atlanta","Donovan Bailey Canada","Frankie Fredericks Namibia","Ato Boldon Trinidad and Tobago","100 metres","men","1996","Atlanta","Running","Donovan Bailey ","Frankie Fredericks ","Ato Boldon ","Canada","Namibia","Trinidad and Tobago"
"2000 Sydney","Maurice Greene United States","Ato Boldon Trinidad and Tobago","Obadele Thompson Barbados","100 metres","men","2000","Sydney","Running","Maurice Greene ","Ato Boldon ","Obadele Thompson Barbados","United States","Trinidad and Tobago",NA
"2004 Athens","Justin Gatlin United States","Francis Obikwelu Portugal","Maurice Greene United States","100 metres","men","2004","Athens","Running","Justin Gatlin ","Francis Obikwelu ","Maurice Greene ","United States","Portugal","United States"
"2008 Beijing","Usain Bolt Jamaica","Richard Thompson Trinidad and Tobago","Walter Dix United States","100 metres","men","2008","Beijing","Running","Usain Bolt ","Richard Thompson ","Walter Dix ","Jamaica","Trinidad and Tobago","United States"
"2012 London","Usain Bolt Jamaica","Yohan Blake Jamaica","Justin Gatlin United States","100 metres","men","2012","London","Running","Usain Bolt ","Yohan Blake ","Justin Gatlin ","Jamaica","Jamaica","United States"
"2016 Rio","Usain Bolt Jamaica","Justin Gatlin United States","Andre De Grasse Canada","100 metres","men","2016","Rio","Running","Usain Bolt ","Justin Gatlin ","Andre De Grasse ","Jamaica","United States","Canada"
"1900 Paris","Walter Tewksbury United States","Norman Pritchard India","Stan Rowley Australia","200 metres","men","1900","Paris","Running","Walter Tewksbury ","Norman Pritchard ","Stan Rowley ","United States","India","Australia"
"1904 St. Louis","Archie Hahn United States","Nate Cartmell United States","William Hogenson United States","200 metres","men","1904","St. Louis","Running","Archie Hahn ","Nate Cartmell ","William Hogenson ","United States","United States","United States"
"1908 London","Robert Kerr Canada","Robert Cloughen United States","Nate Cartmell United States","200 metres","men","1908","London","Running","Robert Kerr ","Robert Cloughen ","Nate Cartmell ","Canada","United States","United States"
"1912 Stockholm","Ralph Craig United States","Donald Lippincott United States","Willie Applegarth Great Britain","200 metres","men","1912","Stockholm","Running","Ralph Craig ","Donald Lippincott ","Willie Applegarth ","United States","United States","Great Britain"
"1920 Antwerp","Allen Woodring United States","Charley Paddock United States","Harry Edward Great Britain","200 metres","men","1920","Antwerp","Running","Allen Woodring ","Charley Paddock ","Harry Edward ","United States","United States","Great Britain"
"1924 Paris","Jackson Scholz United States","Charley Paddock United States","Eric Liddell Great Britain","200 metres","men","1924","Paris","Running","Jackson Scholz ","Charley Paddock ","Eric Liddell ","United States","United States","Great Britain"
"1928 Amsterdam","Percy Williams Canada","Walter Rangeley Great Britain","Helmut Körnig Germany","200 metres","men","1928","Amsterdam","Running","Percy Williams ","Walter Rangeley ","Helmut Körnig ","Canada","Great Britain","Germany"
"1932 Los Angeles","Eddie Tolan United States","George Simpson United States","Ralph Metcalfe United States","200 metres","men","1932","Los Angeles","Running","Eddie Tolan ","George Simpson ","Ralph Metcalfe ","United States","United States","United States"
"1936 Berlin","Jesse Owens United States","Mack Robinson United States","Tinus Osendarp Netherlands","200 metres","men","1936","Berlin","Running","Jesse Owens ","Mack Robinson ","Tinus Osendarp ","United States","United States","Netherlands"
"1948 London","Mel Patton United States","Barney Ewell United States","Lloyd LaBeach Panama","200 metres","men","1948","London","Running","Mel Patton ","Barney Ewell ","Lloyd LaBeach ","United States","United States","Panama"
"1952 Helsinki","Andy Stanfield United States","Thane Baker United States","James Gathers United States","200 metres","men","1952","Helsinki","Running","Andy Stanfield ","Thane Baker ","James Gathers ","United States","United States","United States"
"1956 Melbourne","Bobby Morrow United States","Andy Stanfield United States","Thane Baker United States","200 metres","men","1956","Melbourne","Running","Bobby Morrow ","Andy Stanfield ","Thane Baker ","United States","United States","United States"
"1960 Rome","Livio Berruti Italy","Lester Carney United States","Abdoulaye Seye France","200 metres","men","1960","Rome","Running","Livio Berruti ","Lester Carney ","Abdoulaye Seye ","Italy","United States","France"
"1964 Tokyo","Henry Carr United States","Paul Drayton United States","Edwin Roberts Trinidad and Tobago","200 metres","men","1964","Tokyo","Running","Henry Carr ","Paul Drayton ","Edwin Roberts ","United States","United States","Trinidad and Tobago"
"1968 Mexico City","Tommie Smith United States","Peter Norman Australia","John Carlos United States","200 metres","men","1968","Mexico City","Running","Tommie Smith ","Peter Norman ","John Carlos ","United States","Australia","United States"
"1972 Munich","Valeriy Borzov Soviet Union","Larry Black United States","Pietro Mennea Italy","200 metres","men","1972","Munich","Running","Valeriy Borzov ","Larry Black ","Pietro Mennea ","Soviet Union","United States","Italy"
"1976 Montreal","Don Quarrie Jamaica","Millard Hampton United States","Dwayne Evans United States","200 metres","men","1976","Montreal","Running","Don Quarrie ","Millard Hampton ","Dwayne Evans ","Jamaica","United States","United States"
"1980 Moscow","Pietro Mennea Italy","Allan Wells Great Britain","Don Quarrie Jamaica","200 metres","men","1980","Moscow","Running","Pietro Mennea ","Allan Wells ","Don Quarrie ","Italy","Great Britain","Jamaica"
"1984 Los Angeles","Carl Lewis United States","Kirk Baptiste United States","Thomas Jefferson United States","200 metres","men","1984","Los Angeles","Running","Carl Lewis ","Kirk Baptiste ","Thomas Jefferson ","United States","United States","United States"
"1988 Seoul","Joe DeLoach United States","Carl Lewis United States","Robson da Silva Brazil","200 metres","men","1988","Seoul","Running","Joe DeLoach ","Carl Lewis ","Robson da Silva ","United States","United States","Brazil"
"1992 Barcelona","Michael Marsh United States","Frankie Fredericks Namibia","Michael Bates United States","200 metres","men","1992","Barcelona","Running","Michael Marsh ","Frankie Fredericks ","Michael Bates ","United States","Namibia","United States"
"1996 Atlanta","Michael Johnson United States","Frankie Fredericks Namibia","Ato Boldon Trinidad and Tobago","200 metres","men","1996","Atlanta","Running","Michael Johnson ","Frankie Fredericks ","Ato Boldon ","United States","Namibia","Trinidad and Tobago"
"2000 Sydney","Konstantinos Kenteris Greece","Darren Campbell Great Britain","Ato Boldon Trinidad and Tobago","200 metres","men","2000","Sydney","Running","Konstantinos Kenteris ","Darren Campbell ","Ato Boldon ","Greece","Great Britain","Trinidad and Tobago"
"2004 Athens","Shawn Crawford United States","Bernard Williams United States","Justin Gatlin United States","200 metres","men","2004","Athens","Running","Shawn Crawford ","Bernard Williams ","Justin Gatlin ","United States","United States","United States"
"2008 Beijing","Usain Bolt Jamaica","Shawn Crawford United States","Walter Dix United States","200 metres","men","2008","Beijing","Running","Usain Bolt ","Shawn Crawford ","Walter Dix ","Jamaica","United States","United States"
"2012 London","Usain Bolt Jamaica","Yohan Blake Jamaica","Warren Weir Jamaica","200 metres","men","2012","London","Running","Usain Bolt ","Yohan Blake ","Warren Weir ","Jamaica","Jamaica","Jamaica"
"2016 Rio","Usain Bolt Jamaica","Andre De Grasse Canada","Christophe Lemaitre France","200 metres","men","2016","Rio","Running","Usain Bolt ","Andre De Grasse ","Christophe Lemaitre ","Jamaica","Canada","France"
"1896 Athens","Thomas Burke United States","Herbert Jamison United States","Charles Gmelin Great Britain","400 metres","men","1896","Athens","Running","Thomas Burke ","Herbert Jamison ","Charles Gmelin ","United States","United States","Great Britain"
"1900 Paris","Maxie Long United States","William Holland United States","Ernst Schultz Denmark","400 metres","men","1900","Paris","Running","Maxie Long ","William Holland ","Ernst Schultz ","United States","United States","Denmark"
"1904 St. Louis","Harry Hillman United States","Frank Waller United States","Herman Groman United States","400 metres","men","1904","St. Louis","Running","Harry Hillman ","Frank Waller ","Herman Groman ","United States","United States","United States"
"1908 London","Wyndham Halswelle Great Britain","None awarded","None awarded","400 metres","men","1908","London","Running","Wyndham Halswelle ","None awarded","None awarded","Great Britain",NA,NA
