"year","level","path","distance","value","event","event_type","games","gold","silver","bronze","gender","location","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
2000,24,1,25,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,362,26,0.0125,"50 kilometres race walk","Walking","2000 Sydney","Robert Korzeniowski Poland","Aigars Fadejevs Latvia","Joel Sánchez Mexico","men","Sydney","Robert Korzeniowski ","Aigars Fadejevs ","Joel Sánchez ","Poland","Latvia","Mexico"
2004,25,1,26,0.0125,"20 kilometres race walk","Walking","2004 Athens","Athanasia Tsoumeleka Greece","Olimpiada Ivanova Russia","Jane Saville Australia","women","Athens","Athanasia Tsoumeleka ","Olimpiada Ivanova ","Jane Saville ","Greece","Russia","Australia"
2004,25,1,26,0.0125,"20 kilometres race walk","Walking","2004 Athens","Ivano Brugnetti Italy","Paquillo Fernández Spain","Nathan Deakes Australia","men","Athens","Ivano Brugnetti ","Paquillo Fernández ","Nathan Deakes ","Italy","Spain","Australia"
2004,25,362,27,0.0125,"10,000 metres","Running","2004 Athens","Xing Huina China","Ejagayehu Dibaba Ethiopia","Derartu Tulu Ethiopia","women","Athens","Xing Huina ","Ejagayehu Dibaba ","Derartu Tulu ","China","Ethiopia","Ethiopia"
2004,25,362,27,0.0125,"10,000 metres","Running","2004 Athens","Kenenisa Bekele Ethiopia","Sileshi Sihine Ethiopia","Zersenay Tadese Eritrea","men","Athens","Kenenisa Bekele ","Sileshi Sihine ","Zersenay Tadese ","Ethiopia","Ethiopia","Eritrea"
2008,26,1,27,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,362,28,0.0125,"10 kilometres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,27,1,28,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,27,362,29,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,1,29,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,362,30,0.0125,"4 × 400 metres relay","Running","2016 Rio de Janeiro","United States (USA)Allyson FelixPhyllis FrancisNatasha HastingsCourtney OkoloTaylor Ellis-Watson*Francena McCorory*","Jamaica (JAM)Stephenie Ann McPhersonAnneisha McLaughlin-WhilbyShericka JacksonNovlene Williams-MillsChristine Day*Chrisann Gordon*","Great Britain (GBR)Eilidh DoyleAnyika OnuoraEmily DiamondChristine OhuruoguKelly Massey*","women","Rio de Janeiro"," (USA)Allyson FelixPhyllis FrancisNatasha HastingsCourtney OkoloTaylor Ellis-Watson*na McCorory*"," (JAM)Stephenie Ann McPhersonAnneisha McLaughlin-WhilbyShericka JacksonNovlene Williams-MillsChristine Day*Chrisann Gordon*"," (GBR)Eilidh DoyleAnyika OnuoraEmily DiamondChristine OhuruoguKelly Massey*","United States","Jamaica","Great Britain"
2016,28,362,30,0.0125,"4 × 400 metres relay","Running","2016 Rio","United States (USA)Arman HallTony McQuayGil RobertsLaShawn MerrittKyle Clemons*David Verburg*","Jamaica (JAM)Peter MatthewsNathon AllenFitzroy DunkleyJavon FrancisRusheen McDonald*","Bahamas (BAH)Alonzo RussellMichael MathieuSteven GardinerChris BrownStephen Newbold*","men","Rio"," (USA)Arman HallTony McQuayGil RobertsLaShawn MerrittKyle Clemons*David Verburg*"," (JAM)Peter MatthewsNathon AllenFitzroy DunkleyJavon FrancisRusheen McDonald*","Bahamas (BAH)Alonzo RussellMichael MathieuSteven GardinerChris BrownStephen Newbold*","United States","Jamaica",NA
1896,1,1,2,0.0125,"4 × 100 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,362,3,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,1,3,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,362,4,0.0125,"Triple jump","Jumping","1900 Paris","Myer Prinstein United States","James Connolly United States","Lewis Sheldon United States","men","Paris","Myer Prinstein ","James Connolly ","Lewis Sheldon ","United States","United States","United States"
1904,3,1,4,0.0125,"Triathlon","Multisport","1904 St. Louis","Max Emmerich (USA)","John Grieb (USA)","William Merz (USA)","men","St. Louis","Max Emmerich (USA)","John Grieb (USA)","William Merz (USA)",NA,NA,NA
1904,3,362,5,0.0125,"Standing triple jump","Jumping","1904 St. Louis","Ray Ewry (USA)","Charles King (USA)","Joseph Stadler (USA)","men","St. Louis","Ray Ewry (USA)","Charles King (USA)","Joseph Stadler (USA)",NA,NA,NA
1908,4,1,5,0.0125,"Standing long jump","Jumping","1908 London","Ray Ewry United States","Konstantinos Tsiklitiras Greece","Martin Sheridan United States","men","London","Ray Ewry ","Konstantinos Tsiklitiras ","Martin Sheridan ","United States","Greece","United States"
1908,4,362,6,0.0125,"Standing high jump","Jumping","1908 London","Ray Ewry United States","John Biller United StatesKonstantinos Tsiklitiras Greece","None awarded","men","London","Ray Ewry ","John Biller Konstantinos Tsiklitiras ","None awarded","United States","United States",NA
1912,5,1,6,0.0125,"Shot put (two-handed)","Throwing","1912 Stockholm","Ralph Rose United States","Pat McDonald United States","Elmer Niklander Finland","men","Stockholm","Ralph Rose ","Pat McDonald ","Elmer Niklander ","United States","United States","Finland"
1912,5,362,7,0.0125,"Shot put","Throwing","1912 Stockholm","Pat McDonald United States","Ralph Rose United States","Lawrence Whitney United States","men","Stockholm","Pat McDonald ","Ralph Rose ","Lawrence Whitney ","United States","United States","United States"
1920,6,1,7,0.0125,"Pole vault","Jumping","1920 Antwerp","Frank Foss United States","Henry Petersen Denmark","Edwin Myers United States","men","Antwerp","Frank Foss ","Henry Petersen ","Edwin Myers ","United States","Denmark","United States"
1920,6,362,8,0.0125,"Pentathlon","Multisport","1920 Antwerp","Eero Lehtonen Finland","Everett Bradley United States","Hugo Lahtinen Finland","men","Antwerp","Eero Lehtonen ","Everett Bradley ","Hugo Lahtinen ","Finland","United States","Finland"
1924,7,1,8,0.0125,"Marathon","Running","1924 Paris","Albin Stenroos Finland","Romeo Bertini Italy","Clarence DeMar United States","men","Paris","Albin Stenroos ","Romeo Bertini ","Clarence DeMar ","Finland","Italy","United States"
1924,7,362,9,0.0125,"Long jump","Jumping","1924 Paris","DeHart Hubbard United States","Edward Gourdin United States","Sverre Hansen Norway","men","Paris","DeHart Hubbard ","Edward Gourdin ","Sverre Hansen ","United States","United States","Norway"
1928,8,1,9,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,8,362,10,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,1,10,0.0125,"Javelin throw","Throwing","1932 Los Angeles","Babe Didrikson United States","Ellen Braumüller Germany","Tilly Fleischer Germany","women","Los Angeles","Babe Didrikson ","Ellen Braumüller ","Tilly Fleischer ","United States","Germany","Germany"
1932,9,1,10,0.0125,"Javelin throw","Throwing","1932 Los Angeles","Matti Järvinen Finland","Matti Sippala Finland","Eino Penttilä Finland","men","Los Angeles","Matti Järvinen ","Matti Sippala ","Eino Penttilä ","Finland","Finland","Finland"
1932,9,362,11,0.0125,"High jump","Jumping","1932 Los Angeles","Jean Shiley United States","Babe Didrikson United States","Eva Dawes Canada","women","Los Angeles","Jean Shiley ","Babe Didrikson ","Eva Dawes ","United States","United States","Canada"
1932,9,362,11,0.0125,"High jump","Jumping","1932 Los Angeles","Duncan McNaughton Canada","Bob Van Osdel United States","Simeon Toribio Philippines","men","Los Angeles","Duncan McNaughton ","Bob Van Osdel ","Simeon Toribio ","Canada","United States","Philippines"
1936,10,1,11,0.0125,"Heptathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,362,12,0.0125,"Hammer throw","Throwing","1936 Berlin","Karl Hein Germany","Erwin Blask Germany","Fred Warngård Sweden","men","Berlin","Karl Hein ","Erwin Blask ","Fred Warngård ","Germany","Germany","Sweden"
1948,11,1,12,0.0125,"Discus throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,362,13,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,1,13,0.0125,"Discus throw","Throwing","1952 Helsinki","Nina Romashkova Soviet Union","Yelisaveta Bagriantseva Soviet Union","Nina Dumbadze Soviet Union","women","Helsinki","Nina Romashkova ","Yelisaveta Bagriantseva ","Nina Dumbadze ","Soviet Union","Soviet Union","Soviet Union"
1952,12,1,13,0.0125,"Discus throw","Throwing","1952 Helsinki","Sim Iness United States","Adolfo Consolini Italy","James Dillion United States","men","Helsinki","Sim Iness ","Adolfo Consolini ","James Dillion ","United States","Italy","United States"
1952,12,362,14,0.0125,"Decathlon","Multisport","1952 Helsinki","Bob Mathias United States","Milt Campbell United States","Floyd Simmons United States","men","Helsinki","Bob Mathias ","Milt Campbell ","Floyd Simmons ","United States","United States","United States"
1956,13,1,14,0.0125,"Cross country (team)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
