"year","level","path","distance","value","event","event_type","games","gold","silver","bronze","gender","location","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
1928,8,362,10,0.0125,"80 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,1,10,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,362,11,0.0125,"50 kilometres race walk","Walking","1932 Los Angeles","Tommy Green Great Britain","Janis Dalinš Latvia","Ugo Frigerio Italy","men","Los Angeles","Tommy Green ","Janis Dalinš ","Ugo Frigerio ","Great Britain","Latvia","Italy"
1936,10,1,11,0.0125,"20 kilometres race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,362,12,0.0125,"10,000 metres","Running","1936 Berlin","Ilmari Salminen Finland","Arvo Askola Finland","Volmari Iso-Hollo Finland","men","Berlin","Ilmari Salminen ","Arvo Askola ","Volmari Iso-Hollo ","Finland","Finland","Finland"
1948,11,1,12,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,362,13,0.0125,"10 kilometres walk","Walking","1948 London","John Mikaelsson Sweden","Ingemar Johansson Sweden","Fritz Schwab Switzerland","men","London","John Mikaelsson ","Ingemar Johansson ","Fritz Schwab ","Sweden","Sweden","Switzerland"
1952,12,1,13,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,362,14,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,1,14,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,362,15,0.0125,"4 × 400 metres relay","Running","1956 Melbourne","United States (USA)Charles JenkinsLou JonesJesse MashburnTom Courtney","Australia (AUS)Graham GipsonLeon GregoryDavid LeanKevan Gosper","Great Britain (GBR)Peter HigginsMichael WheelerJohn SalisburyDerek Johnson","men","Melbourne"," (USA)Charles JenkinsLou JonesJesse MashburnTom Courtney"," (AUS)Graham GipsonLeon GregoryDavid LeanKevan Gosper"," (GBR)Peter HigginsMichael WheelerJohn SalisburyDerek Johnson","United States","Australia","Great Britain"
1960,14,1,15,0.0125,"4 × 100 metres relay","Running","1960 Rome","United States (USA)Martha HudsonLucinda WilliamsBarbara JonesWilma Rudolph","United Team of Germany (EUA)Martha LangbeinAnni BiechlBrunhilde HendrixJutta Heine","Poland (POL)Teresa WieczorekBarbara JaniszewskaCelina JesionowskaHalina Richter","women","Rome"," (USA)Martha HudsonLucinda WilliamsBarbara JonesWilma Rudolph"," (EUA)Martha LangbeinAnni BiechlBrunhilde HendrixJutta Heine"," (POL)Teresa WieczorekBarbara JaniszewskaCelina JesionowskaHalina Richter","United States","United Team of Germany","Poland"
1960,14,1,15,0.0125,"4 × 100 metres relay","Running","1960 Rome","United Team of Germany (EUA)Bernd CullmannArmin HaryWalter MahlendorfMartin Lauer","Soviet Union (URS)Gusman KosanovLeonid BartenevYuriy KonovalovEdvin Ozolin","Great Britain (GBR)Peter RadfordDavid JonesDavid SegalNick Whitehead","men","Rome"," (EUA)Bernd CullmannArmin HaryWalter MahlendorfMartin Lauer"," (URS)Gusman KosanovLeonid BartenevYuriy KonovalovEdvin Ozolin"," (GBR)Peter RadfordDavid JonesDavid SegalNick Whitehead","United Team of Germany","Soviet Union","Great Britain"
1960,14,362,16,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,1,16,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,362,17,0.0125,"Triple jump","Jumping","1964 Tokyo","Józef Szmidt Poland","Oleg Fyodoseyev Soviet Union","Viktor Kravchenko Soviet Union","men","Tokyo","Józef Szmidt ","Oleg Fyodoseyev ","Viktor Kravchenko ","Poland","Soviet Union","Soviet Union"
1968,16,1,17,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,362,18,0.0125,"Standing triple jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,1,18,0.0125,"Standing long jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,362,19,0.0125,"Standing high jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,1,19,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,362,20,0.0125,"Shot put","Throwing","1976 Montreal","Ivanka Khristova Bulgaria","Nadezhda Chizhova Soviet Union","Helena Fibingerová Czechoslovakia","women","Montreal","Ivanka Khristova ","Nadezhda Chizhova ","Helena Fibingerová ","Bulgaria","Soviet Union","Czechoslovakia"
1976,18,362,20,0.0125,"Shot put","Throwing","1976 Montreal","Udo Beyer East Germany","Yevgeniy Mironov Soviet Union","Aleksandr Baryshnikov Soviet Union","men","Montreal","Udo Beyer ","Yevgeniy Mironov ","Aleksandr Baryshnikov ","East Germany","Soviet Union","Soviet Union"
1980,19,1,20,0.0125,"Pole vault","Jumping","1980 Moscow","Wladyslaw Kozakiewicz Poland","Tadeusz Slusarski Poland & Konstantin Volkov Soviet Union","none awarded","men","Moscow","Wladyslaw Kozakiewicz ","Tadeusz Slusarski  & Konstantin Volkov ","none awarded","Poland","Poland",NA
1980,19,362,21,0.0125,"Pentathlon","Multisport","1980 Moscow","Nadiya Tkachenko Soviet Union","Olga Rukavishnikova Soviet Union","Olga Kuragina Soviet Union","women","Moscow","Nadiya Tkachenko ","Olga Rukavishnikova ","Olga Kuragina ","Soviet Union","Soviet Union","Soviet Union"
1984,20,1,21,0.0125,"Marathon","Running","1984 Los Angeles","Joan Benoit United States","Grete Waitz Norway","Rosa Mota Portugal","women","Los Angeles","Joan Benoit ","Grete Waitz ","Rosa Mota ","United States","Norway","Portugal"
1984,20,1,21,0.0125,"Marathon","Running","1984 Los Angeles","Carlos Lopes Portugal","John Treacy Ireland","Charlie Spedding Great Britain","men","Los Angeles","Carlos Lopes ","John Treacy ","Charlie Spedding ","Portugal","Ireland","Great Britain"
1984,20,362,22,0.0125,"Long jump","Jumping","1984 Los Angeles","Ani<U+0219>oara Cu<U+0219>mir-Stanciu Romania","Valy Ionescu Romania","Sue Hearnshaw Great Britain","women","Los Angeles","Ani<U+0219>oara Cu<U+0219>mir-Stanciu ","Valy Ionescu ","Sue Hearnshaw ","Romania","Romania","Great Britain"
1984,20,362,22,0.0125,"Long jump","Jumping","1984 Los Angeles","Carl Lewis United States","Gary Honey Australia","Giovanni Evangelisti Italy","men","Los Angeles","Carl Lewis ","Gary Honey ","Giovanni Evangelisti ","United States","Australia","Italy"
1988,21,1,22,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,362,23,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,1,23,0.0125,"Javelin throw","Throwing","1992 Barcelona","Silke Renk Germany","Natalya Shikolenko Unified Team","Karen Forkel Germany","women","Barcelona","Silke Renk ","Natalya Shikolenko ","Karen Forkel ","Germany","Unified Team","Germany"
1992,22,1,23,0.0125,"Javelin throw","Throwing","1992 Barcelona","Jan Železný Czechoslovakia","Seppo Räty Finland","Steve Backley Great Britain","men","Barcelona","Jan Železný ","Seppo Räty ","Steve Backley ","Czechoslovakia","Finland","Great Britain"
1992,22,362,24,0.0125,"High jump","Jumping","1992 Barcelona","Heike Henkel Germany","Alina Astafei Romania","Ioamnet Quintero Cuba","women","Barcelona","Heike Henkel ","Alina Astafei ","Ioamnet Quintero ","Germany","Romania","Cuba"
1992,22,362,24,0.0125,"High jump","Jumping","1992 Barcelona","Javier Sotomayor Cuba","Patrik Sjöberg Sweden","Hollis Conway United States & Tim Forsyth Australia & Artur Partyka Poland","men","Barcelona","Javier Sotomayor ","Patrik Sjöberg ","Hollis Conway  & Tim Forsyth  & Artur Partyka ","Cuba","Sweden","United States"
1996,23,1,24,0.0125,"Heptathlon","Multisport","1996 Atlanta","Ghada Shouaa Syria","Natallia Sazanovich Belarus","Denise Lewis Great Britain","women","Atlanta","Ghada Shouaa ","Natallia Sazanovich ","Denise Lewis ","Syria","Belarus","Great Britain"
1996,23,362,25,0.0125,"Hammer throw","Throwing","1996 Atlanta","Balázs Kiss Hungary","Lance Deal United States","Oleksandr Krykun Ukraine","men","Atlanta","Balázs Kiss ","Lance Deal ","Oleksandr Krykun ","Hungary","United States","Ukraine"
2000,24,1,25,0.0125,"Discus throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,362,26,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,1,26,0.0125,"Discus throw","Throwing","2004 Athens","Natalya Sadova Russia","Anastasia Kelesidou Greece","Vera Pospíšilová-Cechlová Czech Republic[10]","women","Athens","Natalya Sadova ","Anastasia Kelesidou ","Vera Pospíšilová-Cechlová [10]","Russia","Greece","Czech Republic"
2004,25,1,26,0.0125,"Discus throw","Throwing","2004 Athens","Virgilijus Alekna Lithuania","Zoltán Kovágó Hungary","Aleksander Tammert Estonia","men","Athens","Virgilijus Alekna ","Zoltán Kovágó ","Aleksander Tammert ","Lithuania","Hungary","Estonia"
2004,25,362,27,0.0125,"Decathlon","Multisport","2004 Athens","Roman Šebrle Czech Republic","Bryan Clay United States","Dmitriy Karpov Kazakhstan","men","Athens","Roman Šebrle ","Bryan Clay ","Dmitriy Karpov ","Czech Republic","United States","Kazakhstan"
2008,26,1,27,0.0125,"Cross country (team)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,362,28,0.0125,"Cross country (individual)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,27,1,28,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,27,362,29,0.0125,"5000 metres","Running","2012 London","Meseret Defar Ethiopia","Vivian Cheruiyot Kenya","Tirunesh Dibaba Ethiopia","women","London","Meseret Defar ","Vivian Cheruiyot ","Tirunesh Dibaba ","Ethiopia","Kenya","Ethiopia"
2012,27,362,29,0.0125,"5000 metres","Running","2012 London","Mo Farah Great Britain","Dejen Gebremeskel Ethiopia","Thomas Pkemei Longosiwa Kenya","men","London","Mo Farah ","Dejen Gebremeskel ","Thomas Pkemei Longosiwa ","Great Britain","Ethiopia","Kenya"
2016,28,1,29,0.0125,"4000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,362,30,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,1,2,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,362,3,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,1,3,0.0125,"3000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,362,4,0.0125,"3000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,1,4,0.0125,"3000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,362,5,0.0125,"2590 metres steeplechase","Running","1904 St. Louis","James Lightbody United States","John Daly Great Britain","Arthur Newton United States","men","St. Louis","James Lightbody ","John Daly ","Arthur Newton ","United States","Great Britain","United States"
1908,4,1,5,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,362,6,0.0125,"1600 metres relay","Running","1908 London","United States (USA)William HamiltonNate CartmellJohn TaylorMel Sheppard","Germany (GER)Arthur HoffmannHans EickeOtto TrieloffHanns Braun","Hungary (HUN)Pál SimonFrigyes WiesnerJózsef NagyÖdön Bodor","men","London"," (USA)William HamiltonNate CartmellJohn TaylorMel Sheppard"," (GER)Arthur HoffmannHans EickeOtto TrieloffHanns Braun"," (HUN)Pál SimonFrigyes WiesnerJózsef NagyÖdön Bodor","United States","Germany","Hungary"
1912,5,1,6,0.0125,"1500 metres","Running","1912 Stockholm","Arnold Jackson Great Britain","Abel Kiviat United States","Norman Taber United States","men","Stockholm","Arnold Jackson ","Abel Kiviat ","Norman Taber ","Great Britain","United States","United States"
1912,5,362,7,0.0125,"800 metres","Running","1912 Stockholm","Ted Meredith United States","Mel Sheppard United States","Ira Davenport United States","men","Stockholm","Ted Meredith ","Mel Sheppard ","Ira Davenport ","United States","United States","United States"
1920,6,1,7,0.0125,"400 metres hurdles","Running","1920 Antwerp","Frank Loomis United States","John Norton United States","August Desch United States","men","Antwerp","Frank Loomis ","John Norton ","August Desch ","United States","United States","United States"
1920,6,362,8,0.0125,"400 metres","Running","1920 Antwerp","Bevil Rudd South Africa","Guy Butler Great Britain","Nils Engdahl Sweden","men","Antwerp","Bevil Rudd ","Guy Butler ","Nils Engdahl ","South Africa","Great Britain","Sweden"
1924,7,1,8,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,7,362,9,0.0125,"200 metres","Running","1924 Paris","Jackson Scholz United States","Charley Paddock United States","Eric Liddell Great Britain","men","Paris","Jackson Scholz ","Charley Paddock ","Eric Liddell ","United States","United States","Great Britain"
1928,8,1,9,0.0125,"110 metres hurdles","Running","1928 Amsterdam","Sid Atkinson South Africa","Steve Anderson United States","John Collier United States","men","Amsterdam","Sid Atkinson ","Steve Anderson ","John Collier ","South Africa","United States","United States"
1928,8,362,10,0.0125,"100 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,1,10,0.0125,"100 metres","Running","1932 Los Angeles","Stanislawa Walasiewicz Poland","Hilda Strike Canada","Wilhelmina von Bremen United States","women","Los Angeles","Stanislawa Walasiewicz ","Hilda Strike ","Wilhelmina von Bremen ","Poland","Canada","United States"
1932,9,1,10,0.0125,"100 metres","Running","1932 Los Angeles","Eddie Tolan United States","Ralph Metcalfe United States","Arthur Jonath Germany","men","Los Angeles","Eddie Tolan ","Ralph Metcalfe ","Arthur Jonath ","United States","United States","Germany"
1932,9,362,11,0.0125,"80 metres hurdles","Running","1932 Los Angeles","Babe Didrikson United States","Evelyne Hall United States","Marjorie Clark South Africa","women","Los Angeles","Babe Didrikson ","Evelyne Hall ","Marjorie Clark ","United States","United States","South Africa"
1936,10,1,11,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,362,12,0.0125,"50 kilometres race walk","Walking","1936 Berlin","Harold Whitlock Great Britain","Arthur Tell Schwab Switzerland","Adalberts Bubenko Latvia","men","Berlin","Harold Whitlock ","Arthur Tell Schwab ","Adalberts Bubenko ","Great Britain","Switzerland","Latvia"
1948,11,1,12,0.0125,"20 kilometres race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,362,13,0.0125,"10,000 metres","Running","1948 London","Emil Zátopek Czechoslovakia","Alain Mimoun France","Bertil Albertsson Sweden","men","London","Emil Zátopek ","Alain Mimoun ","Bertil Albertsson ","Czechoslovakia","France","Sweden"
1952,12,1,13,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,362,14,0.0125,"10 kilometres walk","Walking","1952 Helsinki","John Mikaelsson Sweden","Fritz Schwab Switzerland","Bruno Junk Soviet Union","men","Helsinki","John Mikaelsson ","Fritz Schwab ","Bruno Junk ","Sweden","Switzerland","Soviet Union"
1956,13,1,14,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,362,15,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,1,15,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,362,16,0.0125,"4 × 400 metres relay","Running","1960 Rome","United States (USA)Jack YermanEarl YoungGlenn DavisOtis Davis","United Team of Germany (EUA)Hans-Joachim ReskeManfred KinderJohannes KaiserCarl Kaufmann","British West Indies (BWI)Malcolm SpenceJim WedderburnKeith GardnerGeorge Kerr","men","Rome"," (USA)Jack YermanEarl YoungGlenn DavisOtis Davis"," (EUA)Hans-Joachim ReskeManfred KinderJohannes KaiserCarl Kaufmann","British West Indies (BWI)Malcolm SpenceJim WedderburnKeith GardnerGeorge Kerr","United States","United Team of Germany",NA
1964,15,1,16,0.0125,"4 × 100 metres relay","Running","1964 Tokyo","Poland (POL)Teresa CieplyIrena KirszensteinHalina GóreckaEwa Klobukowska","United States (USA)Willye WhiteWyomia TyusMarilyn WhiteEdith McGuire","Great Britain (GBR)Janet SimpsonMary RandDaphne ArdenDorothy Hyman","women","Tokyo"," (POL)Teresa CieplyIrena KirszensteinHalina GóreckaEwa Klobukowska"," (USA)Willye WhiteWyomia TyusMarilyn WhiteEdith McGuire"," (GBR)Janet SimpsonMary RandDaphne ArdenDorothy Hyman","Poland","United States","Great Britain"
1964,15,1,16,0.0125,"4 × 100 metres relay","Running","1964 Tokyo","United States (USA)Paul DraytonGerry AshworthRichard StebbinsBob Hayes","Poland (POL)Andrzej ZielinskiWieslaw ManiakMarian FoikMarian Dudziak","France (FRA)Paul GenevayBernard LaidebeurClaude PiquemalJocelyn Delecour","men","Tokyo"," (USA)Paul DraytonGerry AshworthRichard StebbinsBob Hayes"," (POL)Andrzej ZielinskiWieslaw ManiakMarian FoikMarian Dudziak"," (FRA)Paul GenevayBernard LaidebeurClaude PiquemalJocelyn Delecour","United States","Poland","France"
1964,15,362,17,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,1,17,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,362,18,0.0125,"Triple jump","Jumping","1968 Mexico City","Viktor Saneyev Soviet Union","Nelson Prudencio Brazil","Giuseppe Gentile Italy","men","Mexico City","Viktor Saneyev ","Nelson Prudencio ","Giuseppe Gentile ","Soviet Union","Brazil","Italy"
1972,17,1,18,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,362,19,0.0125,"Standing triple jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,1,19,0.0125,"Standing long jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,362,20,0.0125,"Standing high jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,1,20,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,362,21,0.0125,"Shot put","Throwing","1980 Moscow","Ilona Slupianek East Germany","Svetlana Krachevskaya Soviet Union","Margitta Pufe East Germany","women","Moscow","Ilona Slupianek ","Svetlana Krachevskaya ","Margitta Pufe ","East Germany","Soviet Union","East Germany"
1980,19,362,21,0.0125,"Shot put","Throwing","1980 Moscow","Vladimir Kiselyov Soviet Union","Aleksandr Baryshnikov Soviet Union","Udo Beyer East Germany","men","Moscow","Vladimir Kiselyov ","Aleksandr Baryshnikov ","Udo Beyer ","Soviet Union","Soviet Union","East Germany"
1984,20,1,21,0.0125,"Pole vault","Jumping","1984 Los Angeles","Pierre Quinon France","Mike Tully United States","Earl Bell United States & Thierry Vigneron France","men","Los Angeles","Pierre Quinon ","Mike Tully ","Earl Bell  & Thierry Vigneron ","France","United States","United States"
1984,20,362,22,0.0125,"Pentathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,1,22,0.0125,"Marathon","Running","1988 Seoul","Rosa Mota Portugal","Lisa Martin Australia","Katrin Dörre East Germany","women","Seoul","Rosa Mota ","Lisa Martin ","Katrin Dörre ","Portugal","Australia","East Germany"
1988,21,1,22,0.0125,"Marathon","Running","1988 Seoul","Gelindo Bordin Italy","Douglas Wakiihuri Kenya","Ahmed Salah Djibouti","men","Seoul","Gelindo Bordin ","Douglas Wakiihuri ","Ahmed Salah ","Italy","Kenya","Djibouti"
1988,21,362,23,0.0125,"Long jump","Jumping","1988 Seoul","Jackie Joyner-Kersee United States","Heike Drechsler East Germany","Galina Chistyakova Soviet Union","women","Seoul","Jackie Joyner-Kersee ","Heike Drechsler ","Galina Chistyakova ","United States","East Germany","Soviet Union"
1988,21,362,23,0.0125,"Long jump","Jumping","1988 Seoul","Carl Lewis United States","Mike Powell United States","Larry Myricks United States","men","Seoul","Carl Lewis ","Mike Powell ","Larry Myricks ","United States","United States","United States"
1992,22,1,23,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,362,24,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,1,24,0.0125,"Javelin throw","Throwing","1996 Atlanta","Heli Rantanen Finland","Louise McPaul Australia","Trine Hattestad Norway","women","Atlanta","Heli Rantanen ","Louise McPaul ","Trine Hattestad ","Finland","Australia","Norway"
1996,23,1,24,0.0125,"Javelin throw","Throwing","1996 Atlanta","Jan Železný Czech Republic","Steve Backley Great Britain","Seppo Räty Finland","men","Atlanta","Jan Železný ","Steve Backley ","Seppo Räty ","Czech Republic","Great Britain","Finland"
1996,23,362,25,0.0125,"High jump","Jumping","1996 Atlanta","Stefka Kostadinova Bulgaria","Niki Bakoyianni Greece","Inha Babakova Ukraine","women","Atlanta","Stefka Kostadinova ","Niki Bakoyianni ","Inha Babakova ","Bulgaria","Greece","Ukraine"
1996,23,362,25,0.0125,"High jump","Jumping","1996 Atlanta","Charles Austin United States","Artur Partyka Poland","Steve Smith Great Britain","men","Atlanta","Charles Austin ","Artur Partyka ","Steve Smith ","United States","Poland","Great Britain"
2000,24,1,25,0.0125,"Heptathlon","Multisport","2000 Sydney","Denise Lewis Great Britain","Yelena Prokhorova Russia","Natallia Sazanovich Belarus","women","Sydney","Denise Lewis ","Yelena Prokhorova ","Natallia Sazanovich ","Great Britain","Russia","Belarus"
2000,24,362,26,0.0125,"Hammer throw","Throwing","2000 Sydney","Kamila Skolimowska Poland","Olga Kuzenkova Russia","Kirsten Münchow Germany","women","Sydney","Kamila Skolimowska ","Olga Kuzenkova ","Kirsten Münchow ","Poland","Russia","Germany"
2000,24,362,26,0.0125,"Hammer throw","Throwing","2000 Sydney","Szymon Ziólkowski Poland","Nicola Vizzoni Italy","Igor Astapkovich Belarus","men","Sydney","Szymon Ziólkowski ","Nicola Vizzoni ","Igor Astapkovich ","Poland","Italy","Belarus"
2004,25,1,26,0.0125,"Discus throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,362,27,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,1,27,0.0125,"Discus throw","Throwing","2008 Beijing","Stephanie Brown Trafton United States","Yarelys Barrios Cuba","Olena Antonova Ukraine","women","Beijing","Stephanie Brown Trafton ","Yarelys Barrios ","Olena Antonova ","United States","Cuba","Ukraine"
2008,26,1,27,0.0125,"Discus throw","Throwing","2008 Beijing","Gerd Kanter Estonia","Piotr Malachowski Poland","Virgilijus Alekna Lithuania","men","Beijing","Gerd Kanter ","Piotr Malachowski ","Virgilijus Alekna ","Estonia","Poland","Lithuania"
2008,26,362,28,0.0125,"Decathlon","Multisport","2008 Beijing","Bryan Clay United States","Andrei Krauchanka Belarus","Leonel Suárez Cuba","men","Beijing","Bryan Clay ","Andrei Krauchanka ","Leonel Suárez ","United States","Belarus","Cuba"
2012,27,1,28,0.0125,"Cross country (team)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,27,362,29,0.0125,"Cross country (individual)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,1,29,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,362,30,0.0125,"5000 metres","Running","2016 Rio de Janeiro","Vivian Cheruiyot Kenya","Hellen Obiri Kenya","Almaz Ayana Ethiopia","women","Rio de Janeiro","Vivian Cheruiyot ","Hellen Obiri ","Almaz Ayana ","Kenya","Kenya","Ethiopia"
2016,28,362,30,0.0125,"5000 metres","Running","2016 Rio de Janeiro","Mo Farah Great Britain","Paul Kipkemoi Chelimo United States","Hagos Gebrhiwet Ethiopia","men","Rio de Janeiro","Mo Farah ","Paul Kipkemoi Chelimo ","Hagos Gebrhiwet ","Great Britain","United States","Ethiopia"
1896,1,1,2,0.0125,"4000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,362,3,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,1,3,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,362,4,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,1,4,0.0125,"3000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,362,5,0.0125,"3000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,1,5,0.0125,"3000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,362,6,0.0125,"2590 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,1,6,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,362,7,0.0125,"1600 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,6,1,7,0.0125,"1500 metres","Running","1920 Antwerp","Albert Hill Great Britain","Philip Baker Great Britain","Lawrence Shields United States","men","Antwerp","Albert Hill ","Philip Baker ","Lawrence Shields ","Great Britain","Great Britain","United States"
1920,6,362,8,0.0125,"800 metres","Running","1920 Antwerp","Albert Hill Great Britain","Earl Eby United States","Bevil Rudd South Africa","men","Antwerp","Albert Hill ","Earl Eby ","Bevil Rudd ","Great Britain","United States","South Africa"
1924,7,1,8,0.0125,"400 metres hurdles","Running","1924 Paris","Morgan Taylor United States","Erik Wilén Finland","Ivan Riley United States","men","Paris","Morgan Taylor ","Erik Wilén ","Ivan Riley ","United States","Finland","United States"
1924,7,362,9,0.0125,"400 metres","Running","1924 Paris","Eric Liddell Great Britain","Horatio Fitch United States","Guy Butler Great Britain","men","Paris","Eric Liddell ","Horatio Fitch ","Guy Butler ","Great Britain","United States","Great Britain"
1928,8,1,9,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
