"games","gold","silver","bronze","event","gender"
"1912 Stockholmdetails","Gustaf Lindblom Sweden","Georg Åberg Sweden","Erik Almlöf Sweden","Triple jump","men"
"1920 Antwerpdetails","Vilho Tuulos Finland","Folke Jansson Sweden","Erik Almlöf Sweden","Triple jump","men"
"1924 Parisdetails","Nick Winter Australia","Luis Brunetto Argentina","Vilho Tuulos Finland","Triple jump","men"
"1928 Amsterdamdetails","Mikio Oda Japan","Levi Casey United States","Vilho Tuulos Finland","Triple jump","men"
"1932 Los Angelesdetails","Chuhei Nambu Japan","Erik Svensson Sweden","Kenkichi Oshima Japan","Triple jump","men"
"1936 Berlindetails","Naoto Tajima Japan","Masao Harada Japan","Jack Metcalfe Australia","Triple jump","men"
"1948 Londondetails","Arne Åhman Sweden","George Avery Australia","Ruhi Sarialp Turkey","Triple jump","men"
"1952 Helsinkidetails","Adhemar da Silva Brazil","Leonid Shcherbakov Soviet Union","Asnoldo Devonish Venezuela","Triple jump","men"
"1956 Melbournedetails","Adhemar da Silva Brazil","Vilhjálmur Einarsson Iceland","Vitold Kreyer Soviet Union","Triple jump","men"
"1960 Romedetails","Józef Szmidt Poland","Vladimir Goryaev Soviet Union","Vitold Kreyer Soviet Union","Triple jump","men"
"1964 Tokyodetails","Józef Szmidt Poland","Oleg Fyodoseyev Soviet Union","Viktor Kravchenko Soviet Union","Triple jump","men"
"1968 Mexico Citydetails","Viktor Saneyev Soviet Union","Nelson Prudencio Brazil","Giuseppe Gentile Italy","Triple jump","men"
"1972 Munichdetails","Viktor Saneyev Soviet Union","Jörg Drehmel East Germany","Nelson Prudencio Brazil","Triple jump","men"
"1976 Montrealdetails","Viktor Saneyev Soviet Union","James Butts United States","João Carlos de Oliveira Brazil","Triple jump","men"
"1980 Moscowdetails","Jaak Uudmäe Soviet Union","Viktor Saneyev Soviet Union","João Carlos de Oliveira Brazil","Triple jump","men"
"1984 Los Angelesdetails","Al Joyner United States","Mike Conley Sr. United States","Keith Connor Great Britain","Triple jump","men"
"1988 Seouldetails","Khristo Markov Bulgaria","Igor Lapshin Soviet Union","Aleksandr Kovalenko Soviet Union","Triple jump","men"
"1992 Barcelonadetails","Mike Conley Sr. United States","Charles Simpkins United States","Frank Rutherford Bahamas","Triple jump","men"
"1996 Atlantadetails","Kenny Harrison United States","Jonathan Edwards Great Britain","Yoelbi Quesada Cuba","Triple jump","men"
"2000 Sydneydetails","Jonathan Edwards Great Britain","Yoel García Cuba","Denis Kapustin Russia","Triple jump","men"
"2004 Athensdetails","Christian Olsson Sweden","Marian Oprea Romania","Danil Burkenya Russia","Triple jump","men"
"2008 Beijingdetails","Nelson Évora Portugal","Phillips Idowu Great Britain","Leevan Sands Bahamas","Triple jump","men"
"2012 Londondetails","Christian Taylor United States","Will Claye United States","Fabrizio Donato Italy","Triple jump","men"
"2016 Rio de Janeirodetails","Christian Taylor United States","Will Claye United States","Dong Bin China","Triple jump","men"
"1896 Athensdetails","Robert Garrett United States","Miltiadis Gouskos Greece","Georgios Papasideris Greece","Shot put","men"
"1900 Parisdetails","Richard Sheldon United States","Josiah McCracken United States","Robert Garrett United States","Shot put","men"
"1904 St. Louisdetails","Ralph Rose United States","Wesley Coe United States","Lawrence Feuerbach United States","Shot put","men"
"1908 Londondetails","Ralph Rose United States","Denis Horgan Great Britain","John Garrels United States","Shot put","men"
"1912 Stockholmdetails","Pat McDonald United States","Ralph Rose United States","Lawrence Whitney United States","Shot put","men"
"1920 Antwerpdetails","Ville Pörhölä Finland","Elmer Niklander Finland","Harry Liversedge United States","Shot put","men"
"1924 Parisdetails","Bud Houser United States","Glenn Hartranft United States","Ralph Hills United States","Shot put","men"
"1928 Amsterdamdetails","John Kuck United States","Herman Brix United States","Emil Hirschfeld Germany","Shot put","men"
"1932 Los Angelesdetails","Leo Sexton United States","Harlow Rothert United States","František Douda Czechoslovakia","Shot put","men"
"1936 Berlindetails","Hans Woellke Germany","Sulo Bärlund Finland","Gerhard Stöck Germany","Shot put","men"
"1948 Londondetails","Wilbur Thompson United States","Jim Delaney United States","Jim Fuchs United States","Shot put","men"
"1952 Helsinkidetails","Parry O'Brien United States","Darrow Hooper United States","Jim Fuchs United States","Shot put","men"
"1956 Melbournedetails","Parry O'Brien United States","Bill Nieder United States","Jirí Skobla Czechoslovakia","Shot put","men"
"1960 Romedetails","Bill Nieder United States","Parry O'Brien United States","Dallas Long United States","Shot put","men"
"1964 Tokyodetails","Dallas Long United States","Randy Matson United States","Vilmos Varjú Hungary","Shot put","men"
"1968 Mexico Citydetails","Randy Matson United States","George Woods United States","Eduard Gushchin Soviet Union","Shot put","men"
"1972 Munichdetails","Wladyslaw Komar Poland","George Woods United States","Hartmut Briesenick East Germany","Shot put","men"
"1976 Montrealdetails","Udo Beyer East Germany","Yevgeniy Mironov Soviet Union","Aleksandr Baryshnikov Soviet Union","Shot put","men"
"1980 Moscowdetails","Vladimir Kiselyov Soviet Union","Aleksandr Baryshnikov Soviet Union","Udo Beyer East Germany","Shot put","men"
"1984 Los Angelesdetails","Alessandro Andrei Italy","Mike Carter United States","Dave Laut United States","Shot put","men"
"1988 Seouldetails","Ulf Timmermann East Germany","Randy Barnes United States","Werner Günthör Switzerland","Shot put","men"
"1992 Barcelonadetails","Mike Stulce United States","Jim Doehring United States","Vyacheslav Lykho Unified Team","Shot put","men"
"1996 Atlantadetails","Randy Barnes United States","John Godina United States","Oleksandr Bagach Ukraine","Shot put","men"
"2000 Sydneydetails","Arsi Harju Finland","Adam Nelson United States","John Godina United States","Shot put","men"
"2004 Athensdetails","Adam Nelson United States","Joachim Olsen Denmark","Manuel Martínez Spain","Shot put","men"
"2008 Beijingdetails","Tomasz Majewski Poland","Christian Cantwell United States","Dylan Armstrong Canada","Shot put","men"
"2012 Londondetails","Tomasz Majewski Poland","David Storl Germany","Reese Hoffa United States","Shot put","men"
"2016 Rio de Janeirodetails","Ryan Crouser United States","Joe Kovacs United States","Tomas Walsh New Zealand","Shot put","men"
"1896 Athensdetails","Robert Garrett United States","Panagiotis Paraskevopoulos Greece","Sotirios Versis Greece","Discus throw","men"
"1900 Parisdetails","Rudolf Bauer Hungary","František Janda-Suk Bohemia","Richard Sheldon United States","Discus throw","men"
"1904 St. Louisdetails","Martin Sheridan United States","Ralph Rose United States","Nikolaos Georgantas Greece","Discus throw","men"
"1908 Londondetails","Martin Sheridan United States","Merritt Giffin United States","Bill Horr United States","Discus throw","men"
"1912 Stockholmdetails","Armas Taipale Finland","Richard Byrd United States","James Duncan United States","Discus throw","men"
"1920 Antwerpdetails","Elmer Niklander Finland","Armas Taipale Finland","Gus Pope United States","Discus throw","men"
"1924 Parisdetails","Bud Houser United States","Vilho Niittymaa Finland","Thomas Lieb United States","Discus throw","men"
"1928 Amsterdamdetails","Bud Houser United States","Antero Kivi Finland","James Corson United States","Discus throw","men"
"1932 Los Angelesdetails","John Anderson United States","Henri LaBorde United States","Paul Winter France","Discus throw","men"
"1936 Berlindetails","Ken Carpenter United States","Gordon Dunn United States","Giorgio Oberweger Italy","Discus throw","men"
"1948 Londondetails","Adolfo Consolini Italy","Giuseppe Tosi Italy","Fortune Gordien United States","Discus throw","men"
"1952 Helsinkidetails","Sim Iness United States","Adolfo Consolini Italy","James Dillion United States","Discus throw","men"
"1956 Melbournedetails","Al Oerter United States","Fortune Gordien United States","Des Koch United States","Discus throw","men"
"1960 Romedetails","Al Oerter United States","Rink Babka United States","Dick Cochran United States","Discus throw","men"
"1964 Tokyodetails","Al Oerter United States","Ludvík Danek Czechoslovakia","Dave Weill United States","Discus throw","men"
"1968 Mexico Citydetails","Al Oerter United States","Lothar Milde East Germany","Ludvík Danek Czechoslovakia","Discus throw","men"
"1972 Munichdetails","Ludvík Danek Czechoslovakia","Jay Silvester United States","Ricky Bruch Sweden","Discus throw","men"
"1976 Montrealdetails","Mac Wilkins United States","Wolfgang Schmidt East Germany","John Powell United States","Discus throw","men"
"1980 Moscowdetails","Viktor Rashchupkin Soviet Union","Imrich Bugár Czechoslovakia","Luis Delís Cuba","Discus throw","men"
"1984 Los Angelesdetails","Rolf Danneberg West Germany","Mac Wilkins United States","John Powell United States","Discus throw","men"
"1988 Seouldetails","Jürgen Schult East Germany","Romas Ubartas Soviet Union","Rolf Danneberg West Germany","Discus throw","men"
"1992 Barcelonadetails","Romas Ubartas Lithuania","Jürgen Schult Germany","Roberto Moya Cuba","Discus throw","men"
"1996 Atlantadetails","Lars Riedel Germany","Vladimir Dubrovshchik Belarus","Vasiliy Kaptyukh Belarus","Discus throw","men"
"2000 Sydneydetails","Virgilijus Alekna Lithuania","Lars Riedel Germany","Frantz Kruger South Africa","Discus throw","men"
"2004 Athensdetails","Virgilijus Alekna Lithuania","Zoltán Kovágó Hungary","Aleksander Tammert Estonia","Discus throw","men"
"2008 Beijingdetails","Gerd Kanter Estonia","Piotr Malachowski Poland","Virgilijus Alekna Lithuania","Discus throw","men"
"2012 Londondetails","Robert Harting Germany","Ehsan Haddadi Iran","Gerd Kanter Estonia","Discus throw","men"
"2016 Rio de Janeirodetails","Christoph Harting Germany","Piotr Malachowski Poland","Daniel Jasinski Germany","Discus throw","men"
"1900 Parisdetails","John Flanagan United States","Truxtun Hare United States","Josiah McCracken United States","Hammer throw","men"
"1904 St. Louisdetails","John Flanagan United States","John DeWitt United States","Ralph Rose United States","Hammer throw","men"
"1908 Londondetails","John Flanagan United States","Matt McGrath United States","Con Walsh Canada","Hammer throw","men"
"1912 Stockholmdetails","Matt McGrath United States","Duncan Gillis Canada","Clarence Childs United States","Hammer throw","men"
"1920 Antwerpdetails","Patrick Ryan United States","Carl Johan Lind Sweden","Basil Bennett United States","Hammer throw","men"
"1924 Parisdetails","Fred Tootell United States","Matt McGrath United States","Malcolm Nokes Great Britain","Hammer throw","men"
"1928 Amsterdamdetails","Pat O'Callaghan Ireland","Ossian Skiöld Sweden","Edmund Black United States","Hammer throw","men"
"1932 Los Angelesdetails","Pat O'Callaghan Ireland","Ville Pörhölä Finland","Peter Zaremba United States","Hammer throw","men"
"1936 Berlindetails","Karl Hein Germany","Erwin Blask Germany","Fred Warngård Sweden","Hammer throw","men"
"1948 Londondetails","Imre Németh Hungary","Ivan Gubijan Yugoslavia","Robert Bennett United States","Hammer throw","men"
"1952 Helsinkidetails","József Csermák Hungary","Karl Storch Germany","Imre Németh Hungary","Hammer throw","men"
"1956 Melbournedetails","Hal Connolly United States","Mikhail Krivonosov Soviet Union","Anatoliy Samotsvetov Soviet Union","Hammer throw","men"
"1960 Romedetails","Vasily Rudenkov Soviet Union","Gyula Zsivótzky Hungary","Tadeusz Rut Poland","Hammer throw","men"
"1964 Tokyodetails","Romuald Klim Soviet Union","Gyula Zsivótzky Hungary","Uwe Beyer United Team of Germany","Hammer throw","men"
"1968 Mexico Citydetails","Gyula Zsivótzky Hungary","Romuald Klim Soviet Union","Lázár Lovász Hungary","Hammer throw","men"
"1972 Munichdetails","Anatoliy Bondarchuk Soviet Union","Jochen Sachse East Germany","Vasiliy Khmelevskiy Soviet Union","Hammer throw","men"
"1976 Montrealdetails","Yuriy Sedykh Soviet Union","Aleksey Spiridonov Soviet Union","Anatoliy Bondarchuk Soviet Union","Hammer throw","men"
"1980 Moscowdetails","Yuriy Sedykh Soviet Union","Sergey Litvinov Soviet Union","Jüri Tamm Soviet Union","Hammer throw","men"
"1984 Los Angelesdetails","Juha Tiainen Finland","Karl-Hans Riehm West Germany","Klaus Ploghaus West Germany","Hammer throw","men"
"1988 Seouldetails","Sergey Litvinov Soviet Union","Yuriy Sedykh Soviet Union","Jüri Tamm Soviet Union","Hammer throw","men"
"1992 Barcelonadetails","Andrey Abduvaliyev Unified Team","Igor Astapkovich Unified Team","Igor Nikulin Unified Team","Hammer throw","men"
"1996 Atlantadetails","Balázs Kiss Hungary","Lance Deal United States","Oleksandr Krykun Ukraine","Hammer throw","men"
"2000 Sydneydetails","Szymon Ziólkowski Poland","Nicola Vizzoni Italy","Igor Astapkovich Belarus","Hammer throw","men"
"2004 Athensdetails","Koji Murofushi Japan","Not awarded[4]","Esref Apak Turkey","Hammer throw","men"
"2008 Beijingdetails","Primož Kozmus Slovenia","Vadim Devyatovskiy Belarus[5]","Ivan Tsikhan Belarus[5]","Hammer throw","men"
"2012 Londondetails","Krisztián Pars Hungary","Primož Kozmus Slovenia","Koji Murofushi Japan","Hammer throw","men"
"2016 Rio de Janeirodetails","Dilshod Nazarov Tajikistan","Ivan Tsikhan Belarus","Wojciech Nowicki Poland","Hammer throw","men"
"1908 Londondetails","Eric Lemming Sweden","Arne Halse Norway","Otto Nilsson Sweden","Javelin throw","men"
"1912 Stockholmdetails","Eric Lemming Sweden","Julius Saaristo Finland","Mór Kóczán Hungary","Javelin throw","men"
"1920 Antwerpdetails","Jonni Myyrä Finland","Urho Peltonen Finland","Pekka Johansson Finland","Javelin throw","men"
"1924 Parisdetails","Jonni Myyrä Finland","Gunnar Lindström Sweden","Eugene Oberst United States","Javelin throw","men"
"1928 Amsterdamdetails","Erik Lundqvist Sweden","Béla Szepes Hungary","Olav Sunde Norway","Javelin throw","men"
"1932 Los Angelesdetails","Matti Järvinen Finland","Matti Sippala Finland","Eino Penttilä Finland","Javelin throw","men"
"1936 Berlindetails","Gerhard Stöck Germany","Yrjö Nikkanen Finland","Kalervo Toivonen Finland","Javelin throw","men"
"1948 Londondetails","Tapio Rautavaara Finland","Steve Seymour United States","József Várszegi Hungary","Javelin throw","men"
"1952 Helsinkidetails","Cy Young United States","Bill Miller United States","Toivo Hyytiäinen Finland","Javelin throw","men"
"1956 Melbournedetails","Egil Danielsen Norway","Janusz Sidlo Poland","Viktor Tsybulenko Soviet Union","Javelin throw","men"
"1960 Romedetails","Viktor Tsybulenko Soviet Union","Walter Krüger United Team of Germany","Gergely Kulcsár Hungary","Javelin throw","men"
"1964 Tokyodetails","Pauli Nevala Finland","Gergely Kulcsár Hungary","Janis Lusis Soviet Union","Javelin throw","men"
"1968 Mexico Citydetails","Janis Lusis Soviet Union","Jorma Kinnunen Finland","Gergely Kulcsár Hungary","Javelin throw","men"
"1972 Munichdetails","Klaus Wolfermann West Germany","Janis Lusis Soviet Union","Bill Schmidt United States","Javelin throw","men"
"1976 Montrealdetails","Miklós Németh Hungary","Hannu Siitonen Finland","Gheorghe Megelea Romania","Javelin throw","men"
"1980 Moscowdetails","Dainis Kula Soviet Union","Aleksandr Makarov Soviet Union","Wolfgang Hanisch East Germany","Javelin throw","men"
"1984 Los Angelesdetails","Arto Härkönen Finland","David Ottley Great Britain","Kenth Eldebrink Sweden","Javelin throw","men"
"1988 Seouldetails","Tapio Korjus Finland","Jan Železný Czechoslovakia","Seppo Räty Finland","Javelin throw","men"
"1992 Barcelonadetails","Jan Železný Czechoslovakia","Seppo Räty Finland","Steve Backley Great Britain","Javelin throw","men"
"1996 Atlantadetails","Jan Železný Czech Republic","Steve Backley Great Britain","Seppo Räty Finland","Javelin throw","men"
"2000 Sydneydetails","Jan Železný Czech Republic","Steve Backley Great Britain","Sergey Makarov Russia","Javelin throw","men"
"2004 Athensdetails","Andreas Thorkildsen Norway","Vadims Vasilevskis Latvia","Sergey Makarov Russia","Javelin throw","men"
"2008 Beijingdetails","Andreas Thorkildsen Norway","Ainars Kovals Latvia","Tero Pitkämäki Finland","Javelin throw","men"
"2012 Londondetails","Keshorn Walcott Trinidad and Tobago","Antti Ruuskanen Finland","Vítezslav Veselý Czech Republic","Javelin throw","men"
"2016 Rio de Janeirodetails","Thomas Röhler Germany","Julius Yego Kenya","Keshorn Walcott Trinidad and Tobago","Javelin throw","men"
"1912 Stockholmdetails","Jim Thorpe United States","Charles Lomberg Sweden","Gösta Holmér Sweden","Decathlon","men"
"Hugo Wieslander Sweden",NA,NA,NA,"Decathlon","men"
"1920 Antwerpdetails","Helge Løvland Norway","Brutus Hamilton United States","Bertil Ohlson Sweden","Decathlon","men"
"1924 Parisdetails","Harold Osborn United States","Emerson Norton United States","Aleksander Klumberg Estonia","Decathlon","men"
"1928 Amsterdamdetails","Paavo Yrjölä Finland","Akilles Järvinen Finland","Ken Doherty United States","Decathlon","men"
"1932 Los Angelesdetails","Jim Bausch United States","Akilles Järvinen Finland","Wolrad Eberle Germany","Decathlon","men"
"1936 Berlindetails","Glenn Morris United States","Bob Clark United States","Jack Parker United States","Decathlon","men"
"1948 Londondetails","Bob Mathias United States","Ignace Heinrich France","Floyd Simmons United States","Decathlon","men"
"1952 Helsinkidetails","Bob Mathias United States","Milt Campbell United States","Floyd Simmons United States","Decathlon","men"
"1956 Melbournedetails","Milt Campbell United States","Rafer Johnson United States","Vasili Kuznetsov Soviet Union","Decathlon","men"
"1960 Romedetails","Rafer Johnson United States","Yang Chuan-kwang Republic of China","Vasili Kuznetsov Soviet Union","Decathlon","men"
"1964 Tokyodetails","Willi Holdorf United Team of Germany","Rein Aun Soviet Union","Hans-Joachim Walde United Team of Germany","Decathlon","men"
"1968 Mexico Citydetails","Bill Toomey United States","Hans-Joachim Walde West Germany","Kurt Bendlin West Germany","Decathlon","men"
"1972 Munichdetails","Mykola Avilov Soviet Union","Leonid Lytvynenko Soviet Union","Ryszard Katus Poland","Decathlon","men"
"1976 Montrealdetails","Bruce Jenner United States[a]","Guido Kratschmer West Germany","Mykola Avilov Soviet Union","Decathlon","men"
"1980 Moscowdetails","Daley Thompson Great Britain","Yuriy Kutsenko Soviet Union","Sergei Zhelanov Soviet Union","Decathlon","men"
"1984 Los Angelesdetails","Daley Thompson Great Britain","Jürgen Hingsen West Germany","Siegfried Wentz West Germany","Decathlon","men"
"1988 Seouldetails","Christian Schenk East Germany","Torsten Voss East Germany","Dave Steen Canada","Decathlon","men"
"1992 Barcelonadetails","Robert Zmelík Czechoslovakia","Antonio Peñalver Spain","Dave Johnson United States","Decathlon","men"
"1996 Atlantadetails","Dan O'Brien United States","Frank Busemann Germany","Tomáš Dvorák Czech Republic","Decathlon","men"
"2000 Sydneydetails","Erki Nool Estonia","Roman Šebrle Czech Republic","Chris Huffins United States","Decathlon","men"
"2004 Athensdetails","Roman Šebrle Czech Republic","Bryan Clay United States","Dmitriy Karpov Kazakhstan","Decathlon","men"
"2008 Beijingdetails","Bryan Clay United States","Andrei Krauchanka Belarus","Leonel Suárez Cuba","Decathlon","men"
"2012 Londondetails","Ashton Eaton United States","Trey Hardee United States","Leonel Suárez Cuba","Decathlon","men"
"2016 Rio De Janeirodetails","Ashton Eaton United States","Kevin Mayer France","Damian Warner Canada","Decathlon","men"
"1900 Parisdetails","Alvin Kraenzlein United States","Walter Tewksbury United States","Stan Rowley Australia","60 metres","men"
"1904 St. Louisdetails","Archie Hahn United States","William Hogenson United States","Fay Moulton United States","60 metres","men"
"1908 Londondetails","Emil Voigt Great Britain","Edward Owen Great Britain","John Svanberg Sweden","5 miles","men"
"1900 Parisdetails","Alvin Kraenzlein United States","Norman Pritchard India","Walter Tewksbury United States","200 metres hurdles","men"
"1904 St. Louisdetails","Harry Hillman United States","Frank Castleman United States","George Poage United States","200 metres hurdles","men"
"1900 Parisdetails","George Orton Canada","Sidney Robinson Great Britain","Jacques Chastanié France","2500 metres steeplechase","men"
"1904 St. Louisdetails","James Lightbody United States","John Daly Great Britain","Arthur Newton United States","2590 metres steeplechase","men"
"1908 Londondetails","Arthur Russell Great Britain","Archie Robertson Great Britain","John Eisele United States","3200 metres steeplechase","men"
"1900 Parisdetails","John Rimmer Great Britain","Charles Bennett Great Britain","Sidney Robinson Great Britain","4000 metres steeplechase","men"
"1908 Londondetails","United States (USA)William HamiltonNate CartmellJohn TaylorMel Sheppard","Germany (GER)Arthur HoffmannHans EickeOtto TrieloffHanns Braun","Hungary (HUN)Pál SimonFrigyes WiesnerJózsef NagyÖdön Bodor","1600 metres relay","men"
"1912 Stockholmdetails","United States (USA)Tell BernaGeorge BonhagAbel KiviatLouis ScottNorman Taber","Sweden (SWE)Bror FockNils FrykbergThorild OlssonErnst WideJohn Zander","Great Britain (GBR)Joe CottrillGeorge HutsonWilliam MooreEdward OwenCyril Porter","3000 metres team race","men"
"1920 Antwerpdetails","United States (USA)Horace BrownIvan DresserArlie Schardt","Great Britain (GBR)Joe BlewittAlbert HillWilliam Seagrove","Sweden (SWE)Eric BackmanSven LundgrenEdvin Wide","3000 metres team race","men"
"1924 Parisdetails","Finland (FIN)Elias KatzPaavo NurmiVille Ritola","Great Britain (GBR)Herbert JohnstonBertram MacdonaldGeorge Webber","United States (USA)William CoxEdward KirbyWillard Tibbetts","3000 metres team race","men"
"1900 Parisdetails","Mixed team (ZZX)Charles Bennett Great BritainJohn Rimmer Great BritainSidney Robinson Great BritainAlfred Tysoe Great BritainStan Rowley Australia","France (FRA)Henri DelogeGaston RagueneauJacques ChastaniéAndré CastanetMichel Champoudry","none awarded","5000 metres team race","men"
"1908 Londondetails","Great Britain (GBR)Joe DeakinArchie RobertsonWilliam Coales","United States (USA)John EiseleGeorge BonhagHerbert Trube","France (FRA)Louis de FleuracJoseph DreherPaul Lizandier","3-mile team race","men"
"1904 St. Louisdetails","United States (USA)Arthur NewtonGeorge UnderwoodPaul PilgrimHoward ValentineDavid Munson","Mixed team (ZZX)James Lightbody United StatesFrank Verner United StatesLacey Hearn United StatesAlbert Corey FranceSidney Hatch United States","none awarded","4-mile team race","men"
"1912 Stockholmdetails","Hannes Kolehmainen Finland","Hjalmar Andersson Sweden","John Eke Sweden","Cross country (individual)","men"
"1920 Antwerpdetails","Paavo Nurmi Finland","Eric Backman Sweden","Heikki Liimatainen Finland","Cross country (individual)","men"
"1924 Parisdetails","Paavo Nurmi Finland","Ville Ritola Finland","Earl Johnson United States","Cross country (individual)","men"
"1912 Stockholmdetails","Sweden (SWE)Hjalmar AnderssonJohn EkeJosef Ternström","Finland (FIN)Hannes KolehmainenJalmari EskolaAlbin Stenroos","Great Britain (GBR)Frederick HibbinsErnest GloverThomas Humphreys","Cross country (team)","men"
"1920 Antwerpdetails","Finland (FIN)Paavo NurmiHeikki LiimatainenTeodor Koskenniemi","Great Britain (GBR)James WilsonAnton HegartyAlfred Nichols","Sweden (SWE)Eric BackmanGustaf MattssonHilding Ekman","Cross country (team)","men"
"1924 Parisdetails","Finland (FIN)Paavo NurmiVille RitolaHeikki Liimatainen","United States (USA)Earl JohnsonArthur StudenrothAugust Fager","France (FRA)Henri LauvauxGaston HeuetMaurice Norland","Cross country (team)","men"
"1920 Antwerpdetails","Ugo Frigerio Italy","George Parker Australia","Richard Remer United States","3000 metres walk","men"
"1908 Londondetails","George Larner Great Britain","Ernest Webb Great Britain","Harry Kerr Australasia","3500 metres walk","men"
"1912 Stockholmdetails","George Goulding Canada","Ernest Webb Great Britain","Fernando Altimani Italy","10 kilometres walk","men"
"1920 Antwerpdetails","Ugo Frigerio Italy","Joseph Pearman United States","Charles Gunn Great Britain","10 kilometres walk","men"
"1924 Parisdetails","Ugo Frigerio Italy","Gordon Goodwin Great Britain","Cecil McMaster South Africa","10 kilometres walk","men"
"1928–1936","not included in the Olympic program",NA,NA,"10 kilometres walk","men"
"1948 Londondetails","John Mikaelsson Sweden","Ingemar Johansson Sweden","Fritz Schwab Switzerland","10 kilometres walk","men"
"1952 Helsinkidetails","John Mikaelsson Sweden","Fritz Schwab Switzerland","Bruno Junk Soviet Union","10 kilometres walk","men"
"1908 Londondetails","George Larner Great Britain","Ernest Webb Great Britain","Edward Spencer Great Britain","10 miles walk","men"
"1900 Parisdetails","Ray Ewry United States","Irving Baxter United States","Lewis Sheldon United States","Standing high jump","men"
"1904 St. Louisdetails","Ray Ewry United States","Joseph Stadler United States","Lawson Robertson United States","Standing high jump","men"
"1908 Londondetails","Ray Ewry United States","John Biller United StatesKonstantinos Tsiklitiras Greece","None awarded","Standing high jump","men"
"1912 Stockholmdetails","Platt Adams United States","Benjamin Adams United States","Konstantinos Tsiklitiras Greece","Standing high jump","men"
"1900 Parisdetails","Ray Ewry United States","Irving Baxter United States","Emile Torcheboeuf France","Standing long jump","men"
"1904 St. Louisdetails","Ray Ewry United States","Charles King United States","John Biller United States","Standing long jump","men"
"1908 Londondetails","Ray Ewry United States","Konstantinos Tsiklitiras Greece","Martin Sheridan United States","Standing long jump","men"
"1912 Stockholmdetails","Konstantinos Tsiklitiras Greece","Platt Adams United States","Benjamin Adams United States","Standing long jump","men"
"1900 Parisdetails","Ray Ewry (USA)","Irving Baxter (USA)","Robert Garrett (USA)","Standing triple jump","men"
"1904 St. Louisdetails","Ray Ewry (USA)","Charles King (USA)","Joseph Stadler (USA)","Standing triple jump","men"
"1912 Stockholmdetails","Ralph Rose United States","Pat McDonald United States","Elmer Niklander Finland","Shot put (two-handed)","men"
"1908 Londondetails","Martin Sheridan United States","Bill Horr United States","Verner Järvinen Finland","Discus throw (Greek style)","men"
"1912 Stockholmdetails","Armas Taipale Finland","Elmer Niklander Finland","Emil Magnusson Sweden","Discus throw (two-handed)","men"
"1904 St. Louisdetails","Étienne Desmarteau Canada","John Flanagan United States","James Mitchell United States","Weight throw","men"
"1908–1912","not included in the Olympic program",NA,NA,"Weight throw","men"
"1920 Antwerpdetails","Pat McDonald United States","Patrick Ryan United States","Carl Johan Lind Sweden","Weight throw","men"
"1908 Londondetails","Eric Lemming Sweden","Michalis Dorizas Greece","Arne Halse Norway","Javelin throw (freestyle)","men"
"1912 Stockholmdetails","Julius Saaristo (FIN)","Väinö Siikaniemi (FIN)","Urho Peltonen (FIN)","Javelin throw (two-handed)","men"
"1904 St. Louisdetails","Max Emmerich (USA)","John Grieb (USA)","William Merz (USA)","Triathlon","men"
"1912 Stockholmdetails","Ferdinand Bie Norway","James Donahue United States","Frank Lukeman Canada","Pentathlon","men"
"Jim Thorpe United States",NA,NA,NA,"Pentathlon","men"
"1920 Antwerpdetails","Eero Lehtonen Finland","Everett Bradley United States","Hugo Lahtinen Finland","Pentathlon","men"
"1924 Parisdetails","Eero Lehtonen Finland","Elemér Somfay Hungary","Robert LeGendre United States","Pentathlon","men"
